key,screens,English,Hindi,Hinglish,audit flags,review status
nav_habit_tracker,,Habit tracker,हैबिट ट्रैकर,Habit Tracker,,Needs human review
nav_home,HomeScreen; SafarDrawer,Home,होम,Home,,Needs human review
nav_human_support,,Human support,किसी से बात करें,kisi se baat karein,,Needs human review
nav_leaderboard,HomeScreen; LeaderboardScreen; SafarDrawer,Leaderboard,लीडरबोर्ड,Leaderboard,,Needs human review
nav_live_classes,,Live Classes,लाइव क्लासेस,live classes,,Needs human review
nav_live_sessions,,Dhyan Live,ध्यान लाइव,Dhyan live,,Needs human review
nav_next,,Next,अगला,Agla,,Needs human review
nav_night_mode,,Night Mode,नाइट मोड,Night mode,,Needs human review
nav_open_menu,SafarDrawerScaffold,Open menu,मेनू खोलें,Menu kholein,,Needs human review
nav_premium,SafarDrawer,Premium,प्रीमियम,Premium,,Needs human review
nav_previous,KavachStitchComponents,Previous,पिछला,Pichhla,,Needs human review
nav_profile,SafarDrawer,Profile,प्रोफाइल,Profile,,Needs human review
nav_study_circle,HomeScreen; SafarDrawer,Study Circle,स्टडी सर्कल,Study Circle,,Needs human review
nav_study_planner,SafarDrawer,Exam Planner,एग्जाम प्लानर,Exam Planner,,Needs human review
nav_toggle_night,,Toggle night mode,नाइट मोड बदलें,Night mode badlein,,Needs human review
nav_youtube_study_mode,,YouTube Focus,YouTube फोकस,YouTube focus,Latin text in Hindi: inspect names/technical terms,Needs human review
nishtha_analytics_home,NishthaAnalyticsHubSections,Analytics Home,एनालिटिक्स होम,Analytics Home,,Needs human review
nishtha_analytics_overview,NishthaAnalyticsHubSections; NishthaAnalyticsScreen,Overview,ओवरव्यू,overview,,Needs human review
nishtha_checkin_saved,CheckInScreen,Check-in saved!,चेक-इन सेव हो गया!,check-in save ho gaya!,,Needs human review
nishtha_ekagra_insights,NishthaAnalyticsHubSections,Ekagra Insights,एकाग्र इनसाइट्स,ekagra insights,,Needs human review
nishtha_ekagra_insights_subtitle,NishthaAnalyticsHubSections,Focused metrics from Ekagra timer sessions.,एकाग्र टाइमर सेशन के फ़ोकस मेट्रिक्स।,ekagra timer session ke focus metrics.,,Needs human review
nishtha_entry_title_hint,JournalScreen,Give your entry a title…,अपनी एंट्री को एक टाइटल दें…,apni entry ko ek title dein…,,Needs human review
nishtha_goal_consistency_trend,NishthaAnalyticsHubSections,Goal Consistency Trend,गोल कंसिस्टेंसी ट्रेंड,goal consistency trend,,Needs human review
nishtha_goal_insights,NishthaAnalyticsHubSections,Goal Insights,गोल इनसाइट्स,goal insights,,Needs human review
nishtha_goal_insights_subtitle,NishthaAnalyticsHubSections,Completion insights and goal progress from Nishtha goals.,निष्ठा गोल्स की प्रोग्रेस और कंप्लीशन इनसाइट्स।,Nishtha goals ki progress aur completion insights.,,Needs human review
nishtha_journal,JournalScreen,Journal,जर्नल,journal,,Needs human review
nishtha_journal_saved,JournalScreen,Journal saved!,जर्नल सेव हो गया!,journal save ho gaya!,,Needs human review
nishtha_logged_in,StreaksScreen,Logged in,लॉग इन किया,log in kiya,,Needs human review
nishtha_new_entry,JournalScreen,New Entry,नई एंट्री,New Entry,,Needs human review
nishtha_next_month,NishthaAnalyticsScreen,Next Month,अगला महीना,agla mahina,,Needs human review
nishtha_overview_subtitle,NishthaAnalyticsHubSections,"Quick read across goals, ekagra, and the monthly review.","गोल्स, एकाग्र और महीने की रिव्यू का झटपट ओवरव्यू।","Goals, Ekagra aur monthly review ka quick overview.",,Needs human review
nishtha_previous_month,NishthaAnalyticsScreen,Previous Month,पिछला महीना,pichhla mahina,,Needs human review
nishtha_prompt_swipe_hint,JournalScreen,Swipe the prompt above or tap +,ऊपर प्रॉम्प्ट स्वाइप करें या + पर टैप करें,Upar swipe karein ya + par tap karein.,,Needs human review
nishtha_select_month,NishthaAnalyticsScreen,Select Month,महीना चुनें,mahina chunein,,Needs human review
nishtha_start_writing_hint,JournalScreen,Start writing…,लिखना शुरू करें…,likhna shuru karein…,,Needs human review
nishtha_tab_analytics,NishthaScreen; SafarDrawer,Analytics,विश्लेषण,Analytics,,Needs human review
nishtha_tab_checkin,NishthaScreen,Check-In,चेक-इन,check-in,,Needs human review
nishtha_tab_goals,NishthaScreen,Goals,लक्ष्य,Goals,,Needs human review
nishtha_tab_journal,NishthaScreen,Journal,जर्नल,journal,,Needs human review
nishtha_tab_streaks,NishthaScreen,Streaks,सक्रियता,Streaks,,Needs human review
nishtha_timer_duration_usage,NishthaAnalyticsHubSections,Timer Duration Usage,टाइमर कितनी देर चला,timer kitni der chala,,Needs human review
nishtha_today,StreaksScreen,Today,आज,Today,,Needs human review
nishtha_today_prompt,JournalScreen,Today\'s Prompt,आज का प्रॉम्प्ट,aaj ka prompt,,Needs human review
nishtha_weekly_growth_pulse,NishthaAnalyticsHubSections,Weekly Growth Pulse,हफ़्ते की ग्रोथ,Weekly Growth Pulse,,Needs human review
notification_action_start_now,SafarNotificationManager,Start Now,अभी शुरू करें,abhi shuru karein,,Needs human review
notifications_allow,NotificationPermission,Allow Notifications,नोटिफ़िकेशन चालू करें,notification chalu karein,,Needs human review
notifications_exam_approaching,PlannerAlertsWorker,Exam approaching!,एग्ज़ाम पास आ रहा है!,exam paas a raha hai!,,Needs human review
notifications_exam_days_body,PlannerAlertsWorker,Your exam for %1$s is in %2$d days.,%1$s का एग्ज़ाम %2$d दिन में है।,%1$s ka exam %2$d din mein hai.,,Needs human review
notifications_missed_many_body,PlannerAlertsWorker,You missed %1$d topics. Tap to fit them back in.,%1$d टॉपिक्स छूट गए। इन्हें फिर प्लान में जोड़ने के लिए टैप करें।,%1$d topics chhoot gaye. inhein phir plan mein jodne ke liye tap karein.,,Needs human review
notifications_missed_one_body,PlannerAlertsWorker,You missed 1 topic. Tap to fit it back in.,1 टॉपिक छूट गया। इसे फिर प्लान में जोड़ने के लिए टैप करें।,1 topic chhoot gaya. ise phir plan mein jodne ke liye tap karein.,,Needs human review
notifications_missed_topics,PlannerAlertsWorker,Missed topics: %1$s,छूटे हुए टॉपिक्स: %1$s,chhoote hue topics: %1$s,,Needs human review
notifications_off,NotificationPermission,Notifications are off,नोटिफ़िकेशन बंद हैं,notification band hain,,Needs human review
notifications_off_body,NotificationPermission,"To receive study reminders and ekagra-session alerts, enable notifications from Android settings.",स्टडी रिमाइंडर और एकाग्र सेशन अलर्ट पाने के लिए Android सेटिंग्स में नोटिफ़िकेशन चालू करें।,study reminder aur ekagra session alert pane ke liye Android settings mein notification chalu karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
notifications_open_settings,NotificationPermission,Open settings,सेटिंग्स खोलें,settings kholein,,Needs human review
notifications_permission_body,NotificationPermission,"Get reminders for your study goals, focus sessions, daily streaks, and new classes. We’ll also send important account alerts so you never miss a thing!","स्टडी गोल्स, फ़ोकस सेशन्स, डेली स्ट्रीक और नई क्लास के रिमाइंडर पाएँ। ज़रूरी अकाउंट अपडेट भी भेजेंगे, ताकि कुछ मिस न हो!","study goals, focus sessions, daily streak aur nai class ke reminders paayein. zaroori account updates bhi bhejenge, taaki kuch miss na ho!",,Needs human review
notifications_revise_many_body,PlannerAlertsWorker,You have %1$d topics ready for revision today.,आज %1$d टॉपिक्स रिविज़न के लिए तैयार हैं।,aaj %1$d topics revision ke liye ready hain.,,Needs human review
notifications_revise_one_body,PlannerAlertsWorker,Revise %1$s from %2$s today.,आज %2$s का %1$s रिवाइज़ करें।,aaj %2$s ka %1$s revise karein.,,Needs human review
notifications_stay_loop,NotificationPermission,Stay in the loop,हर अपडेट पाते रहें,har update paate rahein,,Needs human review
notifications_study_ready,StudyReminderWorker,Your study time is ready,आपकी पढ़ाई का समय हो गया,aapki padhai ka samay ho gaya,,Needs human review
notifications_study_ready_body,StudyReminderWorker,Start a 25-minute Ekagra session.,25 मिनट का एकाग्र सेशन शुरू करें।,25 minute ka ekagra session shuru karein.,,Needs human review
notifications_time_revise,PlannerAlertsWorker,Time to revise,रिविज़न का समय है,revision ka samay hai,,Needs human review
onboarding_body,SafarOnboardingScreen,Experience frictionless travel designed for the modern rhythm.,आधुनिक जीवन के लिए तैयार की गई आसान यात्रा का अनुभव करें।,Padhai aur well-being ke safar ko simple banayein.,,Needs human review
onboarding_headline,SafarOnboardingScreen,Move at the speed of thought.,विचारों की गति से आगे बढ़ें।,Apni pace par aage badhein.,,Needs human review
planner_active_exams_count,StudyPlannerScreen,ACTIVE EXAMS (%1$d),ACTIVE EXAMS (%1$d),ACTIVE EXAMS (%1$d),Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_anyway,SyllabusSubjectsScreen,Add anyway,फिर भी जोड़ें,Add anyway,,Needs human review
planner_add_chapter,ManualTopicTreeStep; TemplatePickerStep,Add chapter,Chapter जोड़ें,Chapter jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_chapter_plus,SyllabusSubjectsScreen,+ Add chapter,+ चैप्टर जोड़ें,+ chapter jodein,,Needs human review
planner_add_custom_plus,PlanHomeRedesign,+ Add custom,+ Custom जोड़ें,+ Custom jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_daily_topic,DailyTopicsStep; PlanTabV2Components,Add daily topic,Daily topic जोड़ें,Daily topic jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_daily_topics,DailyTopicsStep; PlanTabV2Components,Add daily topics?,Daily topics जोड़ें?,Daily topics jodein?,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_daily_topics_body,DailyTopicsStep; PlanTabV2Components,Add anything you want to do every day. You’ll see it on Home.,"जो काम रोज़ करना है, उसे जोड़ें। वह Home पर दिखेगा।","jo kam roz karna hai, use jodein. woh Home par dikhega.",Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_exam_date_finish,InsightsMomentumWidgets,Add an exam date to see when you’ll finish.,कब पूरा होगा देखने के लिए exam date जोड़ें।,kab poora hoga dekhne ke liye exam date jodein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_first_subject,ManualTopicTreeStep,Add your first subject,पहला subject जोड़ें,pehla subject jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_subject,ManualTopicTreeStep; SyllabusSubjectsScreen; TemplatePickerStep,Add subject,Subject जोड़ें,Subject jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_subject_plus,SyllabusSubjectsScreen,+ Add subject,+ सब्जेक्ट जोड़ें,+ subject jodein,,Needs human review
planner_add_to_today,PlanTabScreen,Add to today,आज में जोड़ें,aaj mein jodein,,Needs human review
planner_add_topic,ChapterTopicsSheet; ManualTopicTreeStep; TemplatePickerStep,Add topic,Topic जोड़ें,Topic jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_topic_today,PlanTabScreen,Add a topic for today,आज के लिए topic जोड़ें,aaj ke liye topic jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_topic_today_body,PlanTabScreen,This adds a one-time topic to today’s plan. It won’t change your daily goal or future days.,यह topic सिर्फ आज के plan में जुड़ेगा। Daily goal या आने वाले दिनों पर असर नहीं पड़ेगा।,yeh topic sirf aaj ke plan mein jurega. Daily goal ya aane waale dinon par asara nahi parega.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_topic_today_plus,PlanHomeRedesign,+ Add a topic for today,+ आज के लिए topic जोड़ें,+ aaj ke liye topic jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_add_topics_progress,InsightsMomentumWidgets,Add topics to see progress here.,Progress देखने के लिए topics जोड़ें।,Progress dekhne ke liye topics jodein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_added_today,StudyPlannerViewModel,Added to today,आज के प्लान में जोड़ दिया,aaj ke plan mein joda diya,,Needs human review
planner_adjusted_for_tough,ChapterRatingStep,💡 Adjusted for your tough chapters,💡 Tough chapters के हिसाब से adjust किया,💡 Tough chapters ke hisaab se adjust kiya,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_back_to_subjects,DeepFocusOrderStep,Back to subjects,Subjects पर वापस जाएँ,Subjects par wapas jaayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_balanced,PlanSettingsStep; RescheduleFlowSheet,Balanced,Balanced,Balanced,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_balanced_body,RescheduleFlowSheet,Mix subjects evenly across study days.,Study days में subjects बराबर mix करें।,Study days mein subjects barabar mix karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_balanced_mode,PlanTabScreen,Balanced mode,Balanced mode,Balanced mode,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_balanced_mode_body,PlanTabScreen,Mix subjects each day.,हर दिन subjects mix करें।,har din subjects mix karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_balanced_option_body,PlanSettingsStep,Study a little of every subject each day.,हर दिन सभी subjects थोड़ा-थोड़ा पढ़ें।,har din sabhi subjects thoda-thoda padhein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_balanced_option_info,PlanSettingsStep,Get a steady daily mix in the order you arrange. Nothing waits until the end.,आपके arranged order में हर subject का steady daily mix मिलेगा। कुछ भी आखिर तक नहीं रुकेगा।,aapke arranged order mein har subject ka steady daily mix milega. kuch bhi akhira tak nahi rukega.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_based_recent_study,InsightsMomentumWidgets,Based on your recent study,आपकी recent study के हिसाब से,aapki recent study ke hisaab se,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_behind_schedule_notification,PlannerAlertsWorker,"You\'re behind schedule, time to catch up!",आप शेड्यूल से पीछे हैं—अब थोड़ा कैच अप कर लें!,Aap schedule se peeche hain — aaj thoda kaam poora kar lein!,,Needs human review
planner_big_topics_count_more,InsightsMomentumWidgets; PlanSettingsStep,Bigger topics count as more.,बड़े topics ज़्यादा count होंगे।,baare topics zyada count honge.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_bonus_ahead,PlanTabScreen,"Bonus, if you want to get ahead",आगे बढ़ना हो तो bonus,aage barhana ho to bonus,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_browse_exam_syllabi,StudyPlannerScreen,Browse exam syllabi →,Exam syllabi देखें →,Exam syllabi dekhein →,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_build_manually,PasteSyllabusStep,Build manually,Manually बनाएँ,Build manually,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_build_my_plan,ChapterRatingStep; PlanSettingsStep,Build my plan,मेरा plan बनाएँ,mera plan banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_build_myself,ChoosePathStep,Build it myself,खुद बनाऊँगा,Build it myself,,Needs human review
planner_build_myself_body,ChoosePathStep,Reuse one you made or create a new syllabus,पहले बनाया syllabus reuse करें या नया बनाएँ,pehle banaya syllabus reuse karein ya naya banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_build_planner,PlanTabScreen,Build planner,Planner बनाएँ,Planner banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_build_syllabus,ManualTopicTreeStep,Build syllabus,Syllabus बनाएँ,Syllabus banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_by_subject,InsightsMomentumWidgets,By subject,Subject के हिसाब से,Subject ke hisaab se,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_add_missing,SyllabusSubjectsScreen,Add something missing from your syllabus.,"सिलेबस में जो छूट गया है, उसे जोड़ें।","syllabus mein jo chhoot gaya hai, use jodein.",,Needs human review
planner_change_date,CalendarTab,Change date,Date बदलें,Date badlein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_details_help,SyllabusSubjectsScreen,"Change exam date, daily study, or rest days.","एग्ज़ाम डेट, डेली स्टडी या रेस्ट डेज़ बदलें।","exam data, daily study ya resta deza badlein.",,Needs human review
planner_change_exam_date,PlanTabScreen,Change exam date,Exam date बदलें,Exam date badlein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_my_plan,SyllabusRedesign,Change my plan,मेरा plan बदलें,mera plan badlein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_option_body,SyllabusSubjectsScreen,Choose one option. Your plan won’t change until you save.,एक option चुनें। Save करने तक आपका plan नहीं बदलेगा।,ek option chunein. Save karne tak aapka plan nahi badalega.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_order_help,SyllabusSubjectsScreen,See how to move topics or mark work as easy or tough.,टॉपिक्स मूव करें या काम को आसान/मुश्किल मार्क करना सीखें।,Topics move karein ya kaam ko aasaan ya mushkil mark karna seekhein.,,Needs human review
planner_change_order_size,SyllabusSubjectsScreen,Change order or topic size,Order या topic size बदलें,Order ya topic size badlein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_plan_details,SyllabusSubjectsScreen,Change plan details,Plan details बदलें,Plan details badlein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_study_plan,SyllabusRedesign,Change your study plan,Study plan बदलें,Study plan badlein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_change_study_plan_body,SyllabusRedesign,"Add subjects, change daily study, or create new dates.","Subjects जोड़ें, daily study बदलें या नई dates बनाएँ।","Subjects jodein, daily study badlein ya nai dates banayein.",Latin text in Hindi: inspect names/technical terms,Needs human review
planner_chapter,ManualTopicTreeStep; PlanTabScreen,Chapter,Chapter,Chapter,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_chapter_names_hint,ManualTopicTreeStep; TemplatePickerStep,Chapter name (use commas for multiple),Chapter का नाम (एक से ज़्यादा हों तो comma लगाएँ),Chapter ka naam (ek se zyada ho to comma lagaayein),Latin text in Hindi: inspect names/technical terms,Needs human review
planner_chapter_options,SyllabusRedesign,Chapter options,Chapter options,Chapter options,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_chapters,SyllabusRedesign,Chapters,Chapters,Chapters,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_choose_study_style,PlanTabScreen,Choose how SAFAR should place topics across your study days.,चुनें कि SAFAR topics को आपके study days में कैसे रखे।,chunein ki SAFAR topics ko aapke study days mein kaise rakhe.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_choose_study_style_title,PlanSettingsStep,Choose your study style,अपना study style चुनें,apna study style chunein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_clear_date,StudyPlannerExamDate,Clear date,Date हटाएँ,Date hataayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_confirm_order,PlanTabV2Components,Confirm order,Order confirm करें,Order confirm karein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_count_planned,PlanTabScreen,%1$d planned,%1$d planned,%1$d planned,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_count_suggested,PlanTabScreen,%1$d suggested,%1$d suggested,%1$d suggested,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_count_total,PlanTabScreen,%1$d total,कुल %1$d,kul %1$d,,Needs human review
planner_create_custom_syllabus,SavedSyllabusPickerStep,Create a custom syllabus,अपना syllabus बनाएँ,apna syllabus banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_create_custom_syllabus_body,SavedSyllabusPickerStep,Start with your own subjects and topics,अपने subjects और topics से शुरू करें,apne subjects aur topics se shuru karein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_create_exam_plan,StudyPlannerScreen,Create your exam plan,अपना exam plan बनाएँ,apna exam plan banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_create_exam_plan_body,StudyPlannerScreen,Set up an exam to see your daily study plan here.,Daily study plan देखने के लिए पहले exam setup करें।,Daily study plan dekhne ke liye pehle exam setup karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_create_plan,PlanTabScreen,Create your plan,अपना plan बनाएँ,apna plan banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_create_syllabus,SavedSyllabusPickerStep,Create syllabus,Syllabus बनाएँ,Syllabus banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_current_pace_late,InsightsMomentumWidgets,"At your current pace, you may finish about %1$d days after the exam.",अभी की pace पर exam के करीब %1$d दिन बाद पूरा हो सकता है।,abhi ki pace par exam ke kareeb %1$d din baad poora ho sakta hai.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_currently_style,PlanTabScreen,Currently: %1$s,अभी: %1$s,abhi: %1$s,,Needs human review
planner_custom_date,RevisionTopicCard,Custom date,Custom date,Custom date,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_customize_arrow,PlanSettingsStep,Customise →,Customize करें →,Customize karein →,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_goal_adjusted,ChapterRatingStep,Daily goal set to %1$d topics a day,Daily goal रोज़ %1$d topics किया,Daily goal roz %1$d topics kiya,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_goal_finish_body,ChapterRatingStep,"To finish before the exam, your daily goal is %1$d topics.",Exam से पहले पूरा करने के लिए daily goal %1$d topics रखा है।,Exam se pehle poora karne ke liye daily goal %1$d topics rakha hai.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_goal_lower,InsightsMomentumWidgets,daily goal,daily goal,daily goal,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_study,InsightsMomentumWidgets,Daily study,Daily study,Daily study,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_todo,PlanHomeRedesign,Daily to-do,Daily to-do,Daily to-do,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_todo_example,PlanTabV2Components,"e.g. Calculation practice, vocabulary, tables","जैसे calculation practice, vocabulary, tables","jaise calculation practice, vocabulary, tables",Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_todo_list,PlanTabV2Components,Daily to-do list,Daily to-do list,Daily to-do list,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_daily_topic_example,DailyTopicsStep; PlanTabV2Components,e.g. Revise vocabulary,जैसे vocabulary revise करना,jaise vocabulary revise karna,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_day_finished,StudyPlannerViewModel,Done for the day. Remaining topics moved to Missed.,आज का काम पूरा। बाकी टॉपिक्स Missed में चले गए।,aaj ka kam poora. baaki topics Missed mein chale gaye.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_days_left_study,InsightsMomentumWidgets,%1$d days left to study,पढ़ने के लिए %1$d दिन बाकी,padhne ke liye %1$d din baaki,,Needs human review
planner_days_per_week,PlanSettingsStep,How many days a week do you want to study?,हफ्ते में कितने दिन पढ़ना चाहते हैं?,hafte mein kitne din padhna chahte hain?,,Needs human review
planner_days_to_exam,PlanPreviewStep,Days to exam,Exam में दिन,Exam mein din,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_days_to_exam_lower,InsightsMomentumWidgets,days to exam,exam में दिन,exam mein din,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_deep_focus,PlanSettingsStep; RescheduleFlowSheet,Deep Focus,Deep Focus,Deep Focus,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_deep_focus_body,RescheduleFlowSheet,Follow the exact topic order in your syllabus.,Syllabus के exact topic order में चलें।,Syllabus ke exact topic order mein chalein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_deep_focus_mode,PlanTabScreen,Deep Focus mode,Deep Focus mode,Deep Focus mode,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_deep_focus_mode_body,PlanTabScreen,Follow the same topic order as your syllabus.,Syllabus के order में topics पूरे करें।,Syllabus ke order mein topics pure karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_deep_focus_option_body,PlanSettingsStep,Focus on one subject at a time.,एक समय में एक subject पर focus करें।,ek samay mein ek subject par focus karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_deep_focus_option_info,PlanSettingsStep,Finish one subject before moving to the next.,अगले subject पर जाने से पहले एक subject पूरा करें।,agale subject par jane se pehle ek subject poora karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_delete_chapter_impact,SyllabusSubjectsScreen,This will remove %1$d topics. %2$d of them already have a date set. You can undo this from the message that appears after.,इससे %1$d टॉपिक्स हटेंगे। इनमें से %2$d की तारीख पहले से तय है। बाद में दिखने वाले मैसेज से इसे वापस ला सकते हैं।,isse %1$d topics hatenge. inamem se %2$d ki tareekh pehle se tay hai. baad mein dikhne waale message se ise wapas la sakte hain.,,Needs human review
planner_delete_daily_topic_question,PlanTabV2Components,Delete this daily topic?,यह daily topic delete करें?,yeh daily topic delete karein?,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_delete_named,ManualTopicTreeStep; SavedSyllabusPickerStep,Delete %1$s,%1$s delete करें,%1$s delete karein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_delete_plan,StudyPlannerScreen,Delete plan,Plan delete करें,Plan delete karein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_delete_plan_named,StudyPlannerScreen,This will delete %1$s and its syllabus.,इससे %1$s और उसका सिलेबस डिलीट हो जाएगा।,isse %1$s aur uska syllabus delete ho jaayega.,,Needs human review
planner_delete_plan_question,StudyPlannerScreen,Delete this plan?,यह plan delete करें?,yeh plan delete karein?,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_delete_syllabus_body,SavedSyllabusPickerStep,Delete “%1$s”? Existing study plans won’t change.,“%1$s” delete करें? Existing study plans नहीं बदलेंगे।,“%1$s” delete karein? Existing study plans nahi badalenge.,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_delete_syllabus_question,SavedSyllabusPickerStep,Delete this syllabus?,यह syllabus delete करें?,yeh syllabus delete karein?,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_delete_topic_named,SyllabusSubjectsScreen,This will remove “%1$s”. You can undo this from the message that appears after.,इससे “%1$s” हट जाएगा। बाद में दिखने वाले मैसेज से इसे वापस ला सकते हैं।,isse “%1$s” hata jaayega. baad mein dikhne waale message se ise wapas la sakte hain.,,Needs human review
planner_done_for_day,PlanTabScreen,DONE FOR THE DAY,आज का काम पूरा,DONE FOR THE DAY,,Needs human review
planner_done_to_go,InsightsMomentumWidgets,%1$d done · %2$d to go,%1$d पूरे · %2$d बाकी,%1$d pure · %2$d baaki,,Needs human review
planner_draft_saved,ManualTopicTreeStep,Draft saved,Draft save हो गया,Draft save ho gaya,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_drafts_count,StudyPlannerScreen,Drafts (%1$d),Drafts (%1$d),Drafts (%1$d),Latin text in Hindi: inspect names/technical terms,Needs human review
planner_drafts_explainer,StudyPlannerScreen,"If you leave while building your own syllabus—subjects, chapters, and topics—we save it here as a draft.\n\nTap the card anytime to continue or delete the unfinished syllabus.","अपना syllabus—subjects, chapters और topics—बनाते समय बीच में निकलेंगे, तो वह यहाँ draft के रूप में save हो जाएगा।\n\nबाद में card tap करके आगे बना सकते हैं या अधूरा syllabus delete कर सकते हैं।","apna syllabus—subjects, chapters aur topics—banate samay beech mein nikalenge, to woh yahan draft ke roop mein save ho jaayega.\n\nbada mein card tap karke aage bana sakte hain ya adhura syllabus delete kar sakte hain.",Latin text in Hindi: inspect names/technical terms,Needs human review
planner_due_mark_revised,RevisionTopicCard,Due — tap to mark revised,Due है — revised mark करने के लिए tap करें,Due hai — revised mark karne ke liye tap karein,Latin text in Hindi: inspect names/technical terms,Needs human review
planner_duplicate_chapter,SyllabusSubjectsScreen,You already have a chapter called “%1$s”. Add it again?,“%1$s” नाम का चैप्टर पहले से है। फिर भी जोड़ें?,“%1$s” naam ka chapter pehle se hai. phir bhi jodein?,,Needs human review
planner_duplicate_subject,SyllabusSubjectsScreen,You already have a subject called “%1$s”. Add it again?,“%1$s” नाम का सब्जेक्ट पहले से है। फिर भी जोड़ें?,“%1$s” naam ka subject pehle se hai. phir bhi jodein?,,Needs human review
